City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
575,Tallahassee,US,71.01,clear sky,30.4383,-84.2807,
577,Uchiza,PE,83.77,overcast clouds,-8.4592,-76.4633,
578,Abu Dhabi,AE,80.71,clear sky,24.4667,54.3667,
579,Gushikawa,JP,67.23,scattered clouds,26.3544,127.8686,
580,Kaoma,ZM,70.14,light rain,-14.7833,24.8,
581,Kavieng,PG,81.0,moderate rain,-2.5744,150.7967,
582,Kwinana,AU,64.24,overcast clouds,-32.25,115.7667,
584,Fiumicino,IT,60.76,clear sky,41.7675,12.2291,
588,Naron,ES,58.59,overcast clouds,43.5167,-8.1528,
589,Bangangte,CM,63.19,light rain,5.1409,10.5198,
591,Mana,GF,81.12,overcast clouds,5.6592,-53.7767,
592,Girne,CY,63.95,clear sky,35.3417,33.3167,
599,Skibbereen,IE,51.6,overcast clouds,51.55,-9.2667,
600,Anloga,GH,82.94,overcast clouds,5.7947,0.8973,
602,Buala,SB,80.83,overcast clouds,-8.145,159.5921,
606,Prachuap Khiri Khan,TH,70.02,broken clouds,12.2167,99.75,
607,Kalmunai,LK,79.38,overcast clouds,7.4167,81.8167,
609,Limon,CR,84.09,clear sky,10.0,-83.0333,
611,Islamkot,PK,71.31,clear sky,24.6997,70.17699999999999,
613,Iquique,CL,66.24,broken clouds,-20.2208,-70.1431,
614,Muli,MV,82.33,broken clouds,2.9167,73.5667,
615,Bandundu,CD,74.59,light rain,-3.3167,17.3667,
616,Camacha,PT,65.53,scattered clouds,33.0833,-16.3333,
617,Yulara,AU,60.64,clear sky,-25.2406,130.9889,
618,Maymyo,MM,61.18,scattered clouds,22.0333,96.4667,
620,Ukiah,US,69.37,clear sky,39.1502,-123.2078,
623,Hellin,ES,51.15,clear sky,38.5106,-1.7009999999999998,
625,Kon Tum,VN,68.61,overcast clouds,14.35,108.0,
627,Shenjiamen,CN,60.66,overcast clouds,29.9576,122.29799999999999,
628,Whyalla,AU,55.29,overcast clouds,-33.0333,137.5833,
629,Warwick,US,50.5,broken clouds,41.7001,-71.4162,
631,Kita,ML,84.85,overcast clouds,13.0349,-9.4895,
633,Plaridel,PH,82.9,broken clouds,14.8872,120.8572,
636,Moerai,PF,73.72,light rain,-22.4333,-151.3333,
637,Misratah,LY,69.48,clear sky,32.3754,15.0925,
638,Hirara,JP,73.09,overcast clouds,24.8,125.2833,
639,Kununurra,AU,67.98,overcast clouds,-15.7667,128.7333,
640,Mao,ES,57.76,broken clouds,39.8885,4.2658,
641,Ormond Beach,US,75.16,clear sky,29.2858,-81.0559,
642,Chau Doc,VN,75.15,light rain,10.7,105.1167,
647,Melendugno,IT,64.06,overcast clouds,40.2747,18.3368,
649,Kirakira,SB,79.45,broken clouds,-10.4544,161.9205,
650,Cabedelo,BR,84.87,scattered clouds,-6.9811,-34.8339,
653,Galesong,ID,76.57,overcast clouds,-5.3166,119.3661,
654,Conde,BR,83.66,scattered clouds,-7.2597,-34.9075,
656,Lincoln,US,72.01,clear sky,40.8,-96.667,
657,Angoche,MZ,78.82,overcast clouds,-16.2325,39.9086,
658,Dwarka,IN,78.22,overcast clouds,22.2394,68.9678,
659,Gallup,US,65.16,clear sky,35.5281,-108.7426,
660,Statesville,US,60.42,clear sky,35.7826,-80.8873,
661,Calama,CL,77.49,broken clouds,-22.4667,-68.9333,
662,Bintulu,MY,75.61,few clouds,3.1667,113.0333,
664,Mount Darwin,ZW,72.97,clear sky,-16.7725,31.5838,
665,Galle,LK,80.04,overcast clouds,6.0367,80.217,
666,Nunoa,PE,59.32,overcast clouds,-14.48,-70.6411,
667,Quthing,LS,71.2,overcast clouds,-30.4,27.7003,
669,Marzuq,YE,69.24,clear sky,14.4,46.4667,
